"gene","correlation","p_value","p_adj"
"list_5_AT4G17750",-0.193734526749152,0.00444822634964067,0.0119769330725547
"list_5_AT5G03720",-0.192338225810351,0.00474878673432241,0.0122503117489814
"list_7_AT3G18660",-0.193500061508801,0.00479096350578974,0.0122503117489814
"list_3_AT3G43720",-0.205125986111133,0.0053434981521173,0.0134923328340962
"list_2_AT3G55120",-0.195881759042983,0.00633155420080223,0.0157898018340994
"list_2_AT5G08640",-0.194168307018846,0.00652985956790431,0.016085751618496
"list_7_AT1G70630",-0.18003474340577,0.00799422553860057,0.0194558260096062
"list_2_AT5G54060",-0.190163696047486,0.00876888470084443,0.0210870798758402
"list_6_AT1G46768",-0.175584019060489,0.011589180014245,0.0275413454456176
"list_4_AT2G01980",-0.169508105652784,0.0128093601692058,0.0297412730365468
"list_7_AT5G62220",-0.173423532602255,0.0126715799538331,0.0297412730365468
"list_2_AT5G63590",-0.175508295896056,0.014121304206597,0.0320506005587931
"list_6_AT1G16670",-0.176578714184258,0.0140294541655917,0.0320506005587931
"list_7_AT5G58600",-0.172475336380519,0.0143497793844944,0.0322072826185318
"list_7_AT3G55990",-0.171481950689363,0.0149300606941936,0.0331414534090892
"list_1_AT1G16540",-0.164393414856392,0.0160760914864625,0.0352975052202763
"list_7_AT2G33570",0.167453235510064,0.0183721347487037,0.0399050668735284
"list_3_AT1G27950",-0.175958994759515,0.0188033197508022,0.0404071339325748
"list_3_AT1G64670",-0.166955497061989,0.0190320796338578,0.0404682114319923
"list_1_AT1G69850",-0.164107925146443,0.0199160431785714,0.041906674188244
"list_7_AT3G18180",-0.165493795563231,0.0204438300312427,0.0425737491372271
"list_7_AT3G18170",-0.164001171464865,0.0216242186199367,0.0445723689921144
"list_7_AT3G57260",-0.160015743359616,0.0236120085672827,0.0481780376827383
"list_1_AT3G14440",-0.148522990858884,0.0294679956243633,0.0590255406848992
"list_6_AT4G25480",-0.153188448032058,0.0295127703424496,0.0590255406848992
"list_7_AT4G03550",-0.148765118685132,0.030762162472918,0.0609211452895043
"list_7_AT1G70230",-0.15086856431424,0.0325294936532691,0.0637957059996152
"list_7_AT3G56310",-0.146707039747269,0.0331780903026415,0.0641723412803278
"list_7_AT5G08370",-0.146559829418358,0.0333569100714575,0.0641723412803278
"list_7_AT3G26380",-0.148061834189598,0.0341199372846795,0.0650210125613705
"list_7_AT4G11090",-0.148213118326121,0.0357473559272583,0.0674856625916465
"list_7_AT5G65810",0.150130488053842,0.0386887031135669,0.0723622039716715
"list_6_AT3G26744",-0.144794355616414,0.0413031606777457,0.0765434720816939
"list_3_AT3G48720",-0.14712610766981,0.0417079773991562,0.0765910130420869
"list_7_AT3G50220",0.148018753519602,0.0437771884543945,0.0796665952052945
"list_2_AT4G08920",-0.133831729887752,0.049489597250299,0.0892580236121464
"list_7_AT1G33800",0.141782208455147,0.0529127911513819,0.094587467367957
"list_7_AT1G27930",0.141489189526084,0.0534100255924003,0.0946388172777619
"list_7_AT1G08280",0.136983970404155,0.0543028985037219,0.0953842217195811
"list_5_AT4G23570",-0.125088293385194,0.0684513722173743,0.119199803344048
"list_7_AT1G08660",0.123091490979333,0.0848458276242647,0.146485958804286
"list_2_AT2G32950",-0.116789603647362,0.0868313354393696,0.148643472531802
"list_2_AT4G37260",-0.115194189210034,0.0920184612676202,0.156199404840834
"list_3_AT3G61150",-0.109482596911301,0.125648367316991,0.211508084983601
"list_3_AT4G00730",-0.108314146989562,0.129760326348924,0.21662467704531
"list_7_AT5G49720",-0.10276768473388,0.135849957703014,0.224931897180401
"list_7_AT4G01770",0.101385721621582,0.149048581608739,0.244778971422481
"list_7_AT2G22900",0.0973071276108368,0.169371533735626,0.275911692053198
"list_2_AT5G05270",-0.0975349137749152,0.171622239063257,0.276498776087386
"list_5_AT4G11260",-0.0938268554560813,0.172469533599062,0.276498776087386
"list_2_AT5G52250",-0.0925906564462593,0.175157266702619,0.278596597432513
"list_5_AT3G54560",-0.0876480428757723,0.199438058790099,0.314738186528126
"list_7_AT3G62720",0.0873420605270801,0.21530191790173,0.337139437334492
"list_1_AT5G13630",0.0849308200887544,0.218125976634333,0.338934209847195
"list_6_AT5G60410",0.0829069343156323,0.226028455389261,0.348532427394128
"list_7_AT5G39990",0.0741827090829962,0.294068677914695,0.450014188930064
"list_3_AT1G55250",0.0687617425224784,0.317880915320422,0.482796578155828
"list_2_AT5G63860",0.0678330526387965,0.321052714546388,0.483974987599778
"list_3_AT5G15310",0.0710437560393116,0.326197814347114,0.488088581467534
"list_3_AT2G44950",0.0668429193676721,0.333912686985161,0.495958549786783
"list_7_AT4G21060",0.0667533847614293,0.336890978234997,0.496729763528974
"list_3_AT1G01610",0.0642401791758095,0.377289534165973,0.548291265478608
"list_3_AT4G00400",0.064280114580784,0.376992416706339,0.548291265478608
"list_3_AT2G38110",0.0624524969033753,0.390736120653455,0.563776402657128
"list_1_AT2G26300",-0.0593087007960045,0.407744751803684,0.584144963576908
"list_3_AT3G01140",0.0590034124671793,0.415022399785554,0.585885937956769
"list_5_AT5G56030",-0.0554257468518157,0.417661262701855,0.585885937956769
"list_5_AT5G52640",-0.0554317360553749,0.417610871481742,0.585885937956769
"list_3_AT4G28110",0.0572494014344077,0.42905112417913,0.596242991682564
"list_7_AT1G32930",-0.0545020464080464,0.430947904879477,0.596242991682564
"list_2_AT5G42900",-0.0618146635643918,0.450848823032621,0.619533756820336
"list_2_AT5G13930",-0.0527793178905778,0.456799042618719,0.623468963574198
"list_7_AT1G22015",-0.0505740334931015,0.466014132945273,0.631777549362048
"list_6_AT2G39810",0.050150568474953,0.474073629936253,0.63841915498082
"list_7_AT5G53340",-0.0484376656098887,0.485084164429597,0.648920537846215
"list_7_AT3G44990",-0.0490276917044342,0.491655927465003,0.653384850973228
"list_7_AT5G67540",-0.0482344808598997,0.498698782241783,0.658412771325753
"list_7_AT1G68560",-0.0455130324627414,0.505816534971133,0.663473636780317
"list_7_AT5G07830",-0.0468343680496308,0.513416470705208,0.669097594080336
"list_2_AT1G06180",0.0450698828744991,0.534767988635956,0.69245598528502
"list_1_AT4G14210",0.0392710352649059,0.565943106914211,0.728156099341852
"list_1_AT5G46790",0.0409127396382493,0.571119777243022,0.7301657911588
"list_2_AT2G47460",-0.0393604008078811,0.585825556355432,0.744256367193694
"list_6_AT4G25490",0.0379645111990871,0.590739477702072,0.745808590598866
"list_6_AT2G36530",0.0356822665003037,0.60284026838911,0.756358597606213
"list_4_AT1G15690",-0.0340477314447151,0.618739090868828,0.76950746866403
"list_4_AT4G10310",0.0356311241981449,0.620939195011074,0.76950746866403
"list_2_AT3G55270",-0.0332795318945428,0.6266807891738,0.771539862123977
"list_2_AT5G40820",0.0329387010639587,0.630218204210179,0.771539862123977
"list_1_AT4G17870",0.0339746258537298,0.637272462206603,0.772669705834733
"list_1_AT1G52920",-0.0325767922288179,0.638791291457428,0.772669705834733
"list_7_AT2G37090",0.031948533381455,0.654178650282268,0.78657194855368
"list_6_AT5G59820",0.0338101571094031,0.664458467383506,0.789970896009713
"list_7_AT4G36890",0.0308219141602166,0.664826991691343,0.789970896009713
"list_2_AT1G19350",-0.0302311321760387,0.671658474140258,0.793421121499018
"list_6_AT3G23250",0.029405858755189,0.684776922550962,0.804214757879618
"list_2_AT2G46340",0.0270962486342742,0.692109542476331,0.80812790508797
"list_2_AT1G06040",0.0268175791566772,0.701296927793137,0.81414930697824
"list_6_AT5G10450",-0.0249138595414297,0.71579128511993,0.826227654824147
"list_7_AT1G02310",-0.0237333012038719,0.733029311460726,0.84131773247197
"list_2_AT2G18790",-0.0221988337428811,0.748528178892743,0.85425249794539
"list_7_AT2G20680",-0.0212633711685211,0.759915353878825,0.862375851031027
"list_7_AT1G19300",0.0210768919400011,0.766477303184328,0.864963213649353
"list_6_AT1G27730",-0.0203891219305529,0.780648898861384,0.876061542055553
"list_3_AT5G25390",-0.0183397840500616,0.78918517332885,0.880748093991313
"list_2_AT1G69810",-0.0177107041011978,0.798140285813025,0.885848009528742
"list_6_AT2G28550",-0.0157098566684784,0.818432726448591,0.888835541626964
