"latin_name","species_abbr","total_genes","clustered_genes","gene_clusters"
"Chloranthus sessilifolius","Chq",96,63,27
"Ceratophyllum demersum","Cde",55,12,6
"Brachypodium distachyon","Bdi",94,22,9
"Aegilops tauschii-AY61","Aea",162,69,23
"Phyllostachys edulis","Ped",160,42,17
"Oryza sativa ssp. indica-MH63","Osm",92,7,3
"Sorghum bicolor-BTx623","Sbi",121,35,14
"Zea mays-B73","Zma",96,9,4
"Oropetium thomaeum","Oth",91,17,8
"Pharus latifolius","Pla",70,16,7
"Kobresia littledalei","Kli",89,28,11
"Typha latifolia-L0001","Tlb",74,19,9
"Ananas comosus","Aco",73,20,10
"Cocos nucifera-Dwarf-HNU","Cod",0,0,0
"Phoenix dactylifera","Pdb",102,25,8
"Musa acuminata-DH-Pahang","Mac",120,30,8
"Zingiber officinale-Zhangliang","Zof",210,2,1
"Asparagus officinalis-male","Aof",86,11,5
"Asparagus setaceus","Ass",129,60,23
"Allium sativum","Asa",212,87,40
"Hemerocallis citrina","Hci",153,45,17
"Phalaenopsis equestris","Peq",71,11,5
"Dendrobium chrysotoxum","Dch",85,20,8
"Vanilla planifolia","Vpl",102,111,40
"Dioscorea alata","Dal",134,57,15
"Acanthochlamys bracteata-CIB","Abc",0,0,0
"Spirodela intermedia-8410","Sie",47,0,0
"Spirodela polyrhiza-c7498","Sps",41,4,2
"Wolffia australiana-8730-GNU","Wag",33,4,2
"Zostera marina","Zom",49,26,9
"Nymphaea colorata","Nco",69,22,9
"Amborella trichopoda","Atr",89,34,14
"Taxus chinensis var. mairei","Tch",203,270,101
"Taxus wallichiana","Twa",255,186,57
"Pinus tabuliformis","Pit",256,148,53
"Ginkgo biloba","Gbi",155,64,25
"Welwitschia mirabilis-WBG","Wmi",96,53,19
"Gnetum montanum","Gmo",115,44,18
"Azolla filiculoides","Afi",0,0,0
"Salvinia cucullata","Scu",30,0,0
"Adiantum capillus-veneris","Adiantum_capillus-veneris",52,16,8
"Ceratopteris richardii","Ceratopteris_richardii",51,15,5
"Alsophila spinulosa","Alsophila_spinulosa",131,39,17
"Marsilea vestita","Marsilea_vestita",52,21,7
"Diphasiastrum complanatum","Diphasiastrum_complanatum",150,54,19
"Huperzia asiatica hapA","Huperzia_asiatica_hapA",186,88,29
"Huperzia asiatica hapB","Huperzia_asiatica_hapB",258,119,36
"Lycopodium clavatum","Lycopodium_clavatum",112,12,5
"Selaginella tamariscina","Sta",45,6,3
"Selaginella lepidophylla","Sle",74,0,0
"Selaginella moellendorffii","Smo",66,21,8
"Isoetes taiwanensis","Ita",109,30,13
"Syntrichia caninervis","Syc",31,4,2
"Ceratodon purpureus-R40","Cpr",59,0,0
"Fontinalis antipyretica","Foa",36,0,0
"Calohypnum plumiforme","Cap",49,8,4
"Physcomitrium patens","Ppa",61,6,3
"Marchantia polymorpha-TAK1","Mpo",42,0,0
"Anthoceros agrestis Bonn","Anb",80,0,0
"Anthoceros angustus","Ant",40,0,0
"Zygcir1559_1","Zygcir1559_1",14,0,0
"Zygcir1560_1","Zygcir1560_1",16,0,0
"Zygcir6981b_2","Zygcir6981b_2",15,0,0
"Zygcyl6981a_1","Zygcyl6981a_1",15,0,0
"Mesotaenium endlicherianum","Men",8,0,0
"Spirogloea muscicola","Smu",18,4,2
"Penium margaritaceum","Pma",29,51,24
"Chara braunii","Cbr",5,0,0
"Klebsormidium nitens-HENU","Knh",14,0,0
"Mesostigma viride-NIES-296","Mvi",8,0,0
"Chlorokybus atmophyticus","Cat",8,0,0
"Chromochloris zofingiensis","Czo",8,0,0
"Scenedesmus obliquus-UTEX B 3031","Soe",25,9,4
"Raphidocelis subcapitata","Rsu",14,0,0
"Volvox carteri","Vca",10,0,0
"Chlamydomonas reinhardtii","Cre",15,0,0
"Ulva mutabilis","Umu",11,0,0
"Chlorella vulgaris","Cvu",9,0,0
"Chlorella sorokiniana-UTEX 1230","Chf",14,0,0
"Picochlorum costavermella","Pic",6,0,0
"Trebouxia sp. A1-2","Trb",17,0,0
"Tetraselmis striata","Tst",15,0,0
"Micromonas sp. RCC299","Msp",15,0,0
"Ostreococcus tauri-RCC4221","Ota",8,0,0
"Prasinoderma coloniale","Prc",11,0,0
