size_group,group,log2_fold_change
member=2,CTDG,5.27715822476734
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.8744691179161412
member=2,CTDG,-0.6520766965796931
member=2,CTDG,0.777607578663552
member=2,CTDG,0.0
member=2,CTDG,0.703908729471721
member=2,CTDG,0.0
member=2,CTDG,0.4150374992788437
member=2,CTDG,-2.0588936890535683
member=2,CTDG,-0.6724253419714956
member=2,CTDG,0.5849625007211562
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,1.8073549220576042
member=2,CTDG,-1.0155968550510186
member=2,CTDG,-0.19838144749154038
member=2,CTDG,0.12976787497032977
member=2,CTDG,0.10691520391651219
member=2,CTDG,-1.652076696579693
member=2,CTDG,-0.7251401587694164
member=2,CTDG,0.0
member=2,CTDG,-0.2016338611696506
member=2,CTDG,1.037474705418663
member=2,CTDG,-0.022367813028454593
member=2,CTDG,0.0
member=2,CTDG,-0.36257007938470825
member=2,CTDG,1.115477217419936
member=2,CTDG,-0.22239242133644802
member=2,CTDG,1.398549376490275
member=2,CTDG,0.19703684705955357
member=2,CTDG,0.03699420748220157
member=2,CTDG,0.32192809488736207
member=2,CTDG,-0.7291460897069069
member=2,CTDG,-0.47643804394298694
member=2,CTDG,-1.1876270031757712
member=2,CTDG,-0.06634249482869617
member=2,CTDG,0.0
member=2,CTDG,0.7369655941662062
member=2,CTDG,0.0
member=2,CTDG,-1.5501970825604796
member=2,CTDG,0.632268215499513
member=2,CTDG,0.36257007938470814
member=2,CTDG,1.2552570552420748
member=2,CTDG,-2.0995356735509145
member=2,CTDG,0.0
member=2,CTDG,2.521236903110769
member=2,CTDG,-0.4052564784862585
member=2,CTDG,-0.8073549220576036
member=2,CTDG,-0.3219280948873623
member=2,CTDG,1.2410080995037949
member=2,CTDG,-0.6641327141547639
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.5528078429002419
member=2,CTDG,-0.08544770268341469
member=2,CTDG,0.0
member=2,CTDG,0.8377285711011231
member=2,CTDG,-0.7369655941662059
member=2,CTDG,0.0
member=2,CTDG,-0.01885902725131604
member=2,CTDG,-0.34464817138744597
member=2,CTDG,-0.5305147166987798
member=2,CTDG,-0.47012633865097675
member=2,CTDG,-0.5501970825604796
member=2,CTDG,1.7662028153913025
member=2,CTDG,-0.13362456413019524
member=2,CTDG,1.1053530001462288
member=2,CTDG,0.7004397181410922
member=2,CTDG,0.0
member=2,CTDG,2.7725895038969273
member=2,CTDG,-0.7369655941662059
member=2,CTDG,0.5849625007211562
member=2,CTDG,0.21150410519371185
member=2,CTDG,0.28950661719498505
member=2,CTDG,0.13245029602364966
member=2,CTDG,-0.09896645080102112
member=2,CTDG,-0.5145731728297583
member=2,CTDG,-2.2730184944064162
member=2,CTDG,0.0
member=2,CTDG,0.8288592783872483
member=2,CTDG,-0.06558834162757671
member=2,CTDG,0.8930847960834881
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.16992500144231237
member=2,CTDG,0.4854268271702419
member=2,CTDG,-0.46046395860327044
member=2,CTDG,0.0
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.0
member=2,CTDG,-1.0874628412503393
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.415037499278844
member=2,CTDG,-1.0374747054186628
member=2,CTDG,-0.5198674724992711
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-1.0395283641866375
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,1.2223924213364477
member=2,CTDG,-0.10691520391651155
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.802553935793783
member=2,CTDG,0.4150374992788437
member=2,CTDG,0.14438990933517493
member=2,CTDG,0.0
member=2,CTDG,-0.4150374992788438
member=2,CTDG,-1.050626073069968
member=2,CTDG,0.736965594166206
member=2,CTDG,0.3821886197048371
member=2,CTDG,0.0
member=2,CTDG,-0.7004397181410924
member=2,CTDG,0.5145731728297582
member=2,CTDG,1.6371821838514156
member=2,CTDG,0.5380958956831823
member=2,CTDG,0.19264507794239583
member=2,CTDG,0.0
member=2,CTDG,-0.16992500144231246
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.0
member=2,CTDG,-0.4974996594708167
member=2,CTDG,0.0
member=2,CTDG,-0.9625252945813371
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-2.236376650772149
member=2,CTDG,-0.004193883886191119
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.9385994553358568
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.19264507794239571
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,1.452512204697507
member=2,CTDG,0.07179068306801009
member=2,CTDG,0.6685165777417066
member=2,CTDG,0.01837852931485452
member=2,CTDG,1.8073549220576042
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,1.9385994553358568
member=2,CTDG,-0.5979015564286543
member=2,CTDG,0.3601755642443257
