"Group","list_1_AT5G13630","list_1_AT1G45249","list_1_AT1G71960","list_1_AT1G16540","list_1_AT3G14440","list_1_AT4G14210","list_1_AT5G67030","list_1_AT5G17230","list_1_AT1G31800","list_1_AT1G64990","list_1_AT1G52340","list_1_AT4G17870","list_1_AT3G50500","list_1_AT2G27150","list_1_AT4G23650","list_1_AT4G26080","list_1_AT5G52050","list_1_AT4G34460","list_1_AT3G17510","list_1_AT1G67080","list_1_AT2G26300","list_1_AT5G46790","list_1_AT1G69850","list_1_AT1G52920"
"Angiosperms",0,0.00301064537591484,0.116474030925515,0.0600773099785306,0.139812369879976,0.149294268605646,0.343250965210282,0.019061876247505,0.420718004048636,0,0.434810974262731,0.046558427423104,0.367315754037224,0.010292236040739,0.33178238334761,0.261580415252269,0.278068940236547,0.0199779363765358,0.378502657044053,0.0119760479041916,0.0768152672344289,0.0473148366825073,0.333576894511704,0.00775721284703321
"Bryophytes",0.03125,0,0.0879095919673305,0,0.20588474025974,0.125,0.105978260869565,0,0.144230769230769,0,0.217347010364824,0,0.240781934783483,0.0208333333333333,0.282961155011986,0.168069037960012,0.0208333333333333,0,0.263006991073942,0,0,0,0.128525361868027,0
"Chlorophyta",0,0,0.0144230769230769,0,0,0,0,0,0.00904977375565611,0,0.0305791952408494,0,0.0454545454545455,0,0.022239665096808,0.0205128205128205,0.0384615384615385,0,0.0313020313020313,0,0,0,0,0
"Ferns",0,0,0.0790807932201375,0.0468409586056645,0.141025641025641,0.245833333333333,0.234725703146756,0.0833333333333333,0.386289695058201,0,0.37970140970141,0.05,0.270668346152586,0,0.294060613174239,0.221252243308646,0.0996031746031746,0,0.259895153423592,0,0.0416666666666667,0.05,0.262616814402529,0
"Gymnosperms",0,0,0.138383168076994,0,0.259709653092006,0.268055555555556,0.342757936507937,0.119047619047619,0.487653816771464,0,0.58222791477021,0.0555555555555556,0.453649438013699,0.0541666666666667,0.388289698901421,0.277071162876841,0.41054424739978,0.0238095238095238,0.461372264279546,0,0.194444444444444,0.0555555555555556,0.473566882188249,0
"Lycophytes",0,0,0.077739528453177,0,0.05,0.2,0.0583333333333333,0,0.257218013468013,0,0.362952264693733,0.0367063492063492,0.1019099575314,0,0.0884173133359213,0.104025457350266,0.150659824046921,0,0.0874241797628894,0.25,0.0555555555555556,0.0367063492063492,0.267858851347657,0
"Streptophyte_algae",0,0,0.0124223602484472,0,0,0.0833333333333333,0,0,0.0333333333333333,0,0.118696639191425,0,0.128322907070047,0,0.123538961038961,0.0473644003055768,0.0476190476190476,0,0.107454648526077,0,0,0,0,0
"Zygnematophyceae",0,0,0.0253968253968254,0,0.0535714285714286,0.142857142857143,0.0571428571428571,0,0.0420168067226891,0,0.0572829131652661,0,0.117216117216117,0,0.0967353044596723,0.032967032967033,0.11765873015873,0,0.100732600732601,0,0,0,0.0745341614906832,0
