"Group","COP1","PIF4","CHI","PHYB","FPT2","F3RhaT","F3H","STO/BBX24","F7GlcT","ANS","CHS","CYCB1;1","UVR8","A3Glc:2_XylT","DFR","A5GlcT","MYB13","PFG1/MYB12","F3:H","BIM1","SPA1","MYB73","F3AraT","BES1","CRY1","MKP1","FLS1","BGLU6","WRKY36","HY5","RUP1","CHIL","COR27","HYH","ATR","Fd3GlcT","F3Glc:2_XGlcT","BIC1","F7RhaT","OMT1","FLS3"
"Angiosperms",0.00453535678874475,0.00111565362313865,0.0907898488736812,0.00614092328164185,0.345703859637992,0.132746780466718,0.271740614637746,0.000499001996007985,0.0886620762060232,0.275563095161073,0.283178812988516,0.0504365571766138,0.00570945589220127,0.0625435202809923,0.377013792931339,0.125137372146329,0.00564960790247306,0.00688301587311947,0.509005445385761,0,0.00297500237619998,0.00633483985684011,0.132702882185794,0.0346243017059279,0.0715375110584691,0.0145162056838704,0.272134264914338,0.322170891175449,0.00315974628131293,0.0568862275449102,0.00362096320180153,0.077480752780154,0.0029940119760479,0.0568862275449102,0.00299401197604791,0.137877356932159,0.0753361959109427,0,0.050026151234357,0.458730944105486,0.270923311472154
"Bryophytes",0,0,0,0,0,0.014367816091954,0.0911445299122784,0,0.0201612903225806,0.0665591397849462,0.218094093406593,0.0989583333333333,0.00961538461538462,0.0277777777777778,0.254374098124098,0.011986301369863,0.0625,0.0625,0.165748834498834,0,0.0178571428571429,0.0422932330827068,0.0133928571428571,0,0.03125,0.0104166666666667,0.084512842263079,0.094440647072226,0,0,0,0,0,0,0.0208333333333333,0.0142045454545455,0.00892857142857143,0,0.00543478260869565,0.177631578947368,0.0855555555555556
"Chlorophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0
"Ferns",0.00980392156862745,0,0,0.00520833333333333,0.194444444444444,0.0241147281710196,0.233503161698284,0,0.02377858796877,0.224901344994368,0.345291159099299,0.0294117647058824,0.0043859649122807,0.0250010689769726,0.295812709791204,0.0244166087530516,0.0273521969174143,0.0250905452187082,0.294053952375295,0,0,0.0258243293591654,0.0241147281710196,0.037037037037037,0.0595238095238095,0.0333333333333333,0.238072233724408,0.30085536238787,0.00510204081632653,0.277777777777778,0,0.111111111111111,0,0.277777777777778,0.0416666666666667,0.0239269770539004,0.0253747898930922,0,0.0245602745602746,0.450722480134245,0.230756540130349
"Gymnosperms",0.0111111111111111,0,0,0.0166666666666667,0.373523276240668,0.0427642245528702,0.440731881464076,0,0.0322321690866623,0.450532141029953,0.606753812636166,0.0819415636793132,0.0529577535793507,0.0382175166439126,0.469483698379657,0.0392987540789653,0.0258743396897358,0.013770041189396,0.649763065126947,0,0.0429292929292929,0.0262626262626263,0.0382135352555734,0.0787037037037037,0.185714285714286,0.0151515151515152,0.447245307967666,0.362567847356082,0.0185185185185185,0.111111111111111,0.0208333333333333,0,0,0.111111111111111,0,0.0420765259837597,0.0382697001350382,0,0.0254652061627864,0.626569912282364,0.453253391643606
"Lycophytes",0.00925925925925926,0,0,0,0.092948717948718,0.0592903828197946,0.238135477880624,0,0.0519640852974186,0.251240065373723,0.12022792022792,0.0416666666666667,0.0613425925925926,0.0510683760683761,0.319194783589067,0.051656314699793,0,0,0.247771559312594,0,0.00925925925925926,0,0.0555555555555556,0,0.05,0,0.241507445044282,0.190045248868778,0,0,0.0104166666666667,0,0,0,0,0.0622895622895623,0.0538095238095238,0,0.048974358974359,0.365376415376415,0.244116585944173
"Streptophyte_algae",0,0,0,0.0146520146520147,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0
"Zygnematophyceae",0,0,0.0952380952380952,0,0.0571428571428571,0,0,0,0,0,0.0571428571428571,0,0,0,0.0884353741496599,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0.0952380952380952,0,0.142857142857143,0,0.0714285714285714,0,0.142857142857143,0,0,0,0,0,0.102040816326531,0
