"Group","LACS4","HUB2","SHN2","ABCG13","CYP86A4","ANL2","HOTHEAD","DCF","GPAT4","MYB41","SHN1","HUB1","CFL1","MYB106","GPAT6","NFXL2","ABCG11","CUS1","CYP86A8","DCR","LTPG2","BDG1","CD2","ABCG32","LACS1","LACS2","CYP77A6","LTPG1","MYB16","GPAT8","SHN3","HDG1","CYP77A4","CYP86A2"
"Angiosperms",0.206466331145245,0.000665335994677312,0.00443711118519655,0.120143383182614,0.387044037984476,0.0303522216958807,0.187877637623415,0.360576824444202,0.0720118946785962,0.00503639761463903,0.00415143832434411,0,0,0.00497436574740044,0.072112953066023,0,0.121942999455129,0.369411401420739,0.380635488385168,0.405368545288017,0.456724704542227,0.132950259790697,0.0318959174437342,0.109553392712427,0.209638659960537,0.203925827053912,0.486353373083498,0.188121991116003,0.0048682914319405,0.0720118946785962,0.00479935328298049,0.0320467062428532,0.485787341636501,0.395832955995062
"Bryophytes",0.114044838613804,0,0.0190637065637066,0.100273376590878,0.155870590137832,0,0.180242673992674,0.0581258657140774,0.0610795454545454,0.0416666666666667,0.0149410774410774,0,0,0.0416666666666667,0.0586124401913876,0,0.101413313697796,0.183149473865793,0.144982957914456,0.0595779220779221,0,0.239583333333333,0,0.093566225361771,0.114625674504707,0.120509413156472,0.17213126192506,0,0.0416666666666667,0.0610795454545454,0.0177083333333333,0,0.182006812794212,0.135285465277253
"Chlorophyta",0.0384615384615385,0,0,0.0144230769230769,0,0,0.027972027972028,0,0,0,0,0,0,0,0,0,0.0144230769230769,0,0,0,0,0,0,0.00549450549450549,0.0307692307692308,0.0307692307692308,0,0,0,0,0,0,0,0
"Ferns",0.228096375945838,0,0.0156092648539778,0.0874820022053285,0.377789809544297,0.0175438596491228,0,0.293830296461875,0.0833333333333333,0.0248548881746095,0.0152409046214356,0,0,0.0247858750621182,0.0833333333333333,0,0.0887160861737133,0.264608035855052,0.375219886478468,0.30904721725895,0,0.111111111111111,0.0175438596491228,0.0858351103315975,0.214265672599006,0.224050332383666,0.346629376022413,0.111111111111111,0.0248432591268552,0.0833333333333333,0.0159958720330237,0.0185185185185185,0.315702041050338,0.38483883855693
"Gymnosperms",0.322566626394937,0.0166666666666667,0.0278164924506388,0.142162826733905,0.454053509822331,0.0207317073170732,0.450519059351723,0.521416439047006,0.119388974227684,0.0281851057927845,0.0218521143397118,0.0175438596491228,0,0.0277932028651399,0.118085618085618,0,0.14782808225152,0.467767526591056,0.433555316996444,0.507714752567694,0.58331209852949,0.111111111111111,0.0198412698412698,0.145151515151515,0.334236990649363,0.330550968708445,0.621006253761095,0.263888888888889,0.0314432481099148,0.118716931216931,0.0181686046511628,0.0217105263157895,0.62194544371197,0.455200404402532
"Lycophytes",0.131636670842068,0,0,0.0692034610911261,0.208659359589592,0,0.235294117647059,0.260012613283132,0.0625,0,0,0,0,0,0.0601851851851852,0,0.0677897334147334,0.136956285337713,0.151647968314635,0.275402445094492,0.107843137254902,0.166666666666667,0,0.146357594528326,0.123843594676928,0.137617532086087,0.288236458511417,0,0,0.0646929824561403,0,0,0.285687645687646,0.153907940796528
"Streptophyte_algae",0.0171428571428571,0,0,0.0114285714285714,0.0184331797235023,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0.0163265306122449,0,0,0,0,0.0171428571428571,0.00952380952380952,0.0142857142857143,0,0,0,0,0,0,0,0.0184331797235023
"Zygnematophyceae",0.0680272108843537,0,0,0.0150375939849624,0.0317460317460317,0,0,0,0,0,0,0,0,0,0,0,0.0244897959183673,0.164835164835165,0.0285714285714286,0,0,0,0,0.0248447204968944,0.0688311688311688,0.053968253968254,0.0714285714285714,0,0,0,0,0,0.0833333333333333,0.0317460317460317
