"Group","MYB15","ZAT12/RHL41","RAP2.1","MPK3","SIZ1","CBF3","MKK2","MEKK1","CBF1","RAP2.7","ZAT10/STZ","SnRK2.6","MPK4","ICE1","HOS1","LOS2","CBF2","CRPK1","14-3-3λ","MKK4"
"Angiosperms",0.00561132960685216,0.000748502994011976,0.0120113968322043,0.391872145315624,0.000544365813826892,0.0100832776833402,0.31930972544221,0.359808985165277,0.00565529292647434,0.00576213301819812,0.00040098374679213,0.376105473857032,0.391693701651568,0.0175854912201297,0.0179640718562874,0.0175221749015338,0.00605017786729347,0.413738353605914,0.0471751411840079,0.341603887788029
"Bryophytes",0.0625,0,0.0319018082422204,0.287896299575349,0.0208333333333333,0.0103987993138937,0.252582104104723,0.234057751198468,0.0110544217687075,0.00480769230769231,0,0.242532814407814,0.287337572795163,0,0,0.0579710144927536,0.0104895104895105,0.382771030139451,0.0833333333333333,0.243528535640605
"Chlorophyta",0,0,0,0.0537586880297878,0,0,0.0359823103725543,0.0240070387129211,0,0,0,0.0442487649845509,0.0512799073835863,0,0,0,0,0,0,0.0455072050248652
"Ferns",0.0272521662380867,0,0.0162986330178759,0.276739423315569,0,0.0155622489959839,0.243169045353232,0.226427757596565,0.0156092648539778,0.00277777777777778,0,0.264074181179444,0.280140135628133,0,0,0,0.0159465020576132,0.259613117956257,0.0303030303030303,0.250413454991906
"Gymnosperms",0.0248954619863742,0,0.0323051948051948,0.371798552002331,0,0.0361220904699166,0.393472703919904,0.465186346220829,0.0360818273092369,0.0131282820705176,0,0.454293625722197,0.371266721266721,0,0,0.0767045454545455,0.0349424477331454,0.550332089650975,0.0606060606060606,0.412580745956705
"Lycophytes",0,0,0,0.18660978393164,0,0,0.16779837088367,0.223191635862869,0,0,0,0.106553852126275,0.173544414242089,0,0,0,0,0.18114884842826,0,0.177231206948188
"Streptophyte_algae",0,0,0,0.0958329890660718,0,0,0.0459275517987515,0.0541671213940122,0,0,0,0.112380501399645,0.0974870717517776,0,0,0,0,0.142857142857143,0,0.0470161977834612
"Zygnematophyceae",0,0,0,0.0714644832291891,0,0,0.0757936507936508,0.0706168831168831,0,0,0,0.14010989010989,0.0753968253968254,0,0,0,0,0.0714285714285714,0,0.0599876314162028
