size_group,group,log2_fold_change
member=2,CTDG,5.129283016944966
member=2,CTDG,0.0
member=2,CTDG,0.4150374992788437
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.4150374992788437
member=2,CTDG,0.0
member=2,CTDG,1.1255308820838588
member=2,CTDG,-0.22239242133644802
member=2,CTDG,0.0
member=2,CTDG,0.6460046563533015
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,1.3561438102252754
member=2,CTDG,0.3275746580285044
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.5945338731749452
member=2,CTDG,0.5916262310021669
member=2,CTDG,-0.03435150479077688
member=2,CTDG,1.2165396950910103
member=2,CTDG,-0.5525410230287786
member=2,CTDG,-1.1699250014423124
member=2,CTDG,0.0
member=2,CTDG,0.5208321633014406
member=2,CTDG,1.0
member=2,CTDG,-0.06817150264157922
member=2,CTDG,0.0
member=2,CTDG,-0.5849625007211563
member=2,CTDG,0.736965594166206
member=2,CTDG,0.0
member=2,CTDG,1.7884958948062881
member=2,CTDG,-0.035623909730721215
member=2,CTDG,1.2801079191927351
member=2,CTDG,0.963474123974886
member=2,CTDG,0.5901802099921754
member=2,CTDG,-0.19264507794239608
member=2,CTDG,0.17226894191061165
member=2,CTDG,0.03206120923229828
member=2,CTDG,0.0
member=2,CTDG,1.4374053123072985
member=2,CTDG,0.0
member=2,CTDG,-0.18762700317577136
member=2,CTDG,0.7441610955704099
member=2,CTDG,0.19264507794239583
member=2,CTDG,0.8006911917765933
member=2,CTDG,0.09310940439148147
member=2,CTDG,0.0
member=2,CTDG,0.7208459288029292
member=2,CTDG,0.6520766965796929
member=2,CTDG,-1.3479233034203064
member=2,CTDG,-0.7369655941662059
member=2,CTDG,1.1454304395215638
member=2,CTDG,-0.6865005271832185
member=2,CTDG,0.736965594166206
member=2,CTDG,0.4883591351733997
member=2,CTDG,0.11937208920508328
member=2,CTDG,0.0
member=2,CTDG,0.46777896135081726
member=2,CTDG,-0.5145731728297581
member=2,CTDG,0.0
member=2,CTDG,-0.2781018539227355
member=2,CTDG,0.5109619192773793
member=2,CTDG,0.44251823570095067
member=2,CTDG,0.39308021269199533
member=2,CTDG,0.19703684705955357
member=2,CTDG,1.1302563859513417
member=2,CTDG,-0.010341944221458827
member=2,CTDG,1.584962500721156
member=2,CTDG,0.24507012482702997
member=2,CTDG,0.0
member=2,CTDG,1.7004397181410922
member=2,CTDG,0.13750352374993502
member=2,CTDG,0.0
member=2,CTDG,1.074000581443777
member=2,CTDG,1.4150374992788437
member=2,CTDG,1.2825538565532182
member=2,CTDG,0.5554365484179842
member=2,CTDG,0.9335726382610238
member=2,CTDG,-1.0506260730699684
member=2,CTDG,0.0
member=2,CTDG,0.16516434152028858
member=2,CTDG,0.09310940439148147
member=2,CTDG,0.9999999999999997
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.5849625007211562
member=2,CTDG,0.30610312772568005
member=2,CTDG,0.17473284463802205
member=2,CTDG,0.0
member=2,CTDG,0.4150374992788437
member=2,CTDG,0.0
member=2,CTDG,-0.5025003405291831
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.4150374992788438
member=2,CTDG,-0.156119201917282
member=2,CTDG,0.6405971996939748
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.40209844357134605
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,1.874469117916141
member=2,CTDG,0.5145731728297585
member=2,CTDG,0.0
member=2,CTDG,2.5443205162238103
member=2,CTDG,0.0
member=2,CTDG,0.7536443353128366
member=2,CTDG,0.0
member=2,CTDG,-0.07800251200127305
member=2,CTDG,0.0
member=2,CTDG,-0.033947331923337716
member=2,CTDG,0.726981505593584
member=2,CTDG,1.767553913999629
member=2,CTDG,0.9828043847374786
member=2,CTDG,0.0
member=2,CTDG,-0.11547721741993625
member=2,CTDG,0.7318038890504271
member=2,CTDG,1.4943171362811558
member=2,CTDG,0.26960705975728
member=2,CTDG,0.19264507794239583
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.33703498727757075
member=2,CTDG,0.0
member=2,CTDG,0.5975625375007898
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.923218765512519
member=2,CTDG,0.29956028185890793
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.874469117916141
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.16992500144231237
member=2,CTDG,0.0
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-1.078002512001273
member=2,CTDG,-0.02974734339405223
member=2,CTDG,1.5110050369283003
member=2,CTDG,0.8126298640982783
member=2,CTDG,1.584962500721156
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.502500340529183
member=2,CTDG,2.6133909090476735
member=2,CTDG,0.0
member=2,CTDG,0.874469117916141
member=2,CTDG,0.3016556998611009
member=2,CTDG,0.0
member=2,CTDG,1.304854581528421
member=2,CTDG,0.4321616770700529
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,1.00518023910568
member=2,CTDG,2.2730184944064162
member=2,CTDG,2.3062464726550926
member=2,CTDG,0.0
member=2,CTDG,0.48542682717024166
member=2,CTDG,0.7004397181410924
member=2,CTDG,-0.6735705128776969
member=2,CTDG,0.4268146670551974
member=2,CTDG,1.115477217419936
member=2,CTDG,0.0
member=2,CTDG,0.736965594166206
member=2,CTDG,0.048498517691190124
member=2,CTDG,0.0
member=2,CTDG,0.415037499278844
member=2,CTDG,1.2223924213364477
member=2,CTDG,0.0
member=2,CTDG,-0.4150374992788438
member=2,CTDG,0.0
member=2,CTDG,1.15754127698648
member=2,CTDG,0.3391871519467575
member=2,CTDG,0.7725895038969275
member=2,CTDG,0.40865858671613875
member=2,CTDG,0.7686744538935444
member=2,CTDG,0.9184701145034018
member=2,CTDG,0.08130010210184822
