"Group","ABAR/CHLH","AREB1/ABF2","ABCG25","ABA3","NCED3","PDS","ZEP(ABA1)","PSY","LUT5(CYP97A3)","GTG1(GPCR)","ABA2","PYR1","SnRK2.2","AAO3","CPK3","ABI1(PP2CgroupA)","DTX50","AGB1","CIPK","ABA4","GPA1","PYL1","AIT1","GCR2(GPCR)","COP1","PIF4","CHI","PHYB","FPT2","F3RhaT","F3H","STO/BBX24","F7GlcT","ANS","CHS","CYCB1;1","UVR8","A3Glc:2_XylT","DFR","A5GlcT","MYB13","PFG1/MYB12","F3:H","BIM1","SPA1","MYB73","F3AraT","BES1","CRY1","MKP1","FLS1","BGLU6","WRKY36","HY5","RUP1","CHIL","COR27","HYH","ATR","Fd3GlcT","F3Glc:2_XGlcT","BIC1","F7RhaT","OMT1","FLS3","LACS4","HUB2","SHN2","ABCG13","CYP86A4","ANL2","HOTHEAD","DCF","GPAT4","MYB41","SHN1","HUB1","CFL1","MYB106","GPAT6","NFXL2","ABCG11","CUS1","CYP86A8","DCR","LTPG2","BDG1","CD2","ABCG32","LACS1","LACS2","CYP77A6","LTPG1","MYB16","GPAT8","SHN3","HDG1","CYP77A4","CYP86A2","MAPKKK20","MPK3","SOS1","NHX1","SOS2","MKK4","SOS3","MPK6","AVP1","HKT1","DREB2C","HSFA1B","SGT1B","HSP90.2","PIF4","H2A.Z","SGT1A","HSP90.1","HSFA3","HSP70","HSFA7A","HSFA2","DREB2A","HSFA1A","HSFB1","MYB15","ZAT12/RHL41","RAP2.1","MPK3","SIZ1","CBF3","MKK2","MEKK1","CBF1","RAP2.7","ZAT10/STZ","SnRK2.6","MPK4","ICE1","HOS1","LOS2","CBF2","CRPK1","14-3-3λ","MKK4","CesA3","BGAL8","AXY8","XAX1","AGM1","CesA6","AtGUS2","TBG5","GALT2 ","PMR5","GH9A1","AXY3","XLT2","RGXT1","IRX9 ","QUA2","CGR3","GH43A","GMGT1","APSE","FUT4","RGGAT1","HPGT1","CslO(GT2)","BS1","CslC4","BXL1","CesA1","BGAL10","GAUT1","RRT1","MSR1","IRX10 ","CesA1","ADPG1","IRX8","ESK1","PL1_1","ARAD1","GAUT8","BG2","GALT29A","PARVUS","GSL5","SIA1","Tft1","CslA2","GUX1 ","RAY1","QUA3","IRX14","XT1","Bl1_6Gal","GlcAT14A","MAN1","MSR1","IRX7","IRX15","TBG4","CslD3","AGAL3","SlCel9C1","MAN2","GALT31A","XGD1","XAT","MOAT1","GXMT1","XTH31","GALS1","PME5","CslA1","FUT1","AGAL2","OsEgl1","AXY4","GH5BG"
"Angiosperms",0,0.00301064537591484,0.116474030925515,0.0600773099785306,0.139812369879976,0.149294268605646,0.343250965210282,0.019061876247505,0.420718004048636,0,0.434810974262731,0.046558427423104,0.367315754037224,0.010292236040739,0.33178238334761,0.261580415252269,0.278068940236547,0.0199779363765358,0.378502657044053,0.0119760479041916,0.0768152672344289,0.0473148366825073,0.333576894511704,0.00775721284703321,0.00453535678874475,0.00111565362313865,0.0907898488736812,0.00614092328164185,0.345703859637992,0.132746780466718,0.271740614637746,0.000499001996007985,0.0886620762060232,0.275563095161073,0.283178812988516,0.0504365571766138,0.00570945589220127,0.0625435202809923,0.377013792931339,0.125137372146329,0.00564960790247306,0.00688301587311947,0.509005445385761,0,0.00297500237619998,0.00633483985684011,0.132702882185794,0.0346243017059279,0.0715375110584691,0.0145162056838704,0.272134264914338,0.322170891175449,0.00315974628131293,0.0568862275449102,0.00362096320180153,0.077480752780154,0.0029940119760479,0.0568862275449102,0.00299401197604791,0.137877356932159,0.0753361959109427,0,0.050026151234357,0.458730944105486,0.270923311472154,0.206466331145245,0.000665335994677312,0.00443711118519655,0.120143383182614,0.387044037984476,0.0303522216958807,0.187877637623415,0.360576824444202,0.0720118946785962,0.00503639761463903,0.00415143832434411,0,0,0.00497436574740044,0.072112953066023,0,0.121942999455129,0.369411401420739,0.380635488385168,0.405368545288017,0.456724704542227,0.132950259790697,0.0318959174437342,0.109553392712427,0.209638659960537,0.203925827053912,0.486353373083498,0.188121991116003,0.0048682914319405,0.0720118946785962,0.00479935328298049,0.0320467062428532,0.485787341636501,0.395832955995062,0.36343815542387,0.391872145315624,0.123614891429263,0.164624396581071,0.382799309681492,0.341603887788029,0.217889507900585,0.389612460906435,0.0306955406145262,0.0318078129455375,0.0221155803545411,0.00887428479263022,0.00199600798403194,0.0561461672511233,0.00111565362313865,0.228610625205682,0.00399201596806388,0.0557938469633521,0.00878330699455183,0.222275714404889,0.00799971096057731,0.00893113985838188,0.0345474489672699,0.00908338974960785,0.00850275151525592,0.00561132960685216,0.000748502994011976,0.0120113968322043,0.391872145315624,0.000544365813826892,0.0100832776833402,0.31930972544221,0.359808985165277,0.00565529292647434,0.00576213301819812,0.00040098374679213,0.376105473857032,0.391693701651568,0.0175854912201297,0.0179640718562874,0.0175221749015338,0.00605017786729347,0.413738353605914,0.0471751411840079,0.341603887788029,0.191448048010527,0.0878998808159409,0,0.200851937764444,0.0477574185041603,0.191256588605428,0.0640413063317255,0.0880894061605947,0.0331314972163709,0.265272640419848,0.0899458925964617,0.0566064044160483,0.165916825898372,0.0316509837467921,0.0096806387225549,0.154809735359427,0.00698602794411178,0.0119760479041916,0.086779247033738,0.0936794908351795,0.132115477854572,0.0164022647870741,0.0399157855801185,0.256294290813488,0.40777640501036,0.0758810494178062,0.255319705820998,0.191648727236554,0.0850591415793561,0.0379554285800281,0.0843793937386021,0.0726354474419014,0.16466880039189,0.0413417512940059,0.346904189468931,0.0388698776801944,0.263268263916487,0.119595090994922,0.167828841554236,0.038752024255432,0.196957725433376,0.00299401197604791,0.0364097513006624,0.038552175440077,0,0.0960739730386498,0.0759823284305871,0.0953685819906432,0.114087093877513,0.150692475984178,0.00773453093812375,0.0862737077997733,0,0.0553086643610837,0.114195787477249,0.0722348091417847,0.16671357267575,0.046480319023468,0.0842395618020434,0.191259689338122,0.103020983214273,0.088724128277526,0.114548123541474,0.042595278401707,0.165215799979394,0.201232295929233,0.263928167965003,0.0480296014110737,0.293228950733268,0.0149700598802395,0.40562463676701,0,0.132264206371564,0.101143999048191,0.19684615733124,0.264706262531736,0.185315140470048
"Bryophytes",0.03125,0,0.0879095919673305,0,0.20588474025974,0.125,0.105978260869565,0,0.144230769230769,0,0.217347010364824,0,0.240781934783483,0.0208333333333333,0.282961155011986,0.168069037960012,0.0208333333333333,0,0.263006991073942,0,0,0,0.128525361868027,0,0,0,0,0,0,0.014367816091954,0.0911445299122784,0,0.0201612903225806,0.0665591397849462,0.218094093406593,0.0989583333333333,0.00961538461538462,0.0277777777777778,0.254374098124098,0.011986301369863,0.0625,0.0625,0.165748834498834,0,0.0178571428571429,0.0422932330827068,0.0133928571428571,0,0.03125,0.0104166666666667,0.084512842263079,0.094440647072226,0,0,0,0,0,0,0.0208333333333333,0.0142045454545455,0.00892857142857143,0,0.00543478260869565,0.177631578947368,0.0855555555555556,0.114044838613804,0,0.0190637065637066,0.100273376590878,0.155870590137832,0,0.180242673992674,0.0581258657140774,0.0610795454545454,0.0416666666666667,0.0149410774410774,0,0,0.0416666666666667,0.0586124401913876,0,0.101413313697796,0.183149473865793,0.144982957914456,0.0595779220779221,0,0.239583333333333,0,0.093566225361771,0.114625674504707,0.120509413156472,0.17213126192506,0,0.0416666666666667,0.0610795454545454,0.0177083333333333,0,0.182006812794212,0.135285465277253,0.221550286364754,0.287896299575349,0.00833333333333333,0.05,0.268483980383651,0.243528535640605,0.183928571428571,0.284131027018958,0.0227272727272727,0.14367816091954,0.0179347826086957,0,0,0.0524509803921569,0,0.112564102564103,0,0.0524509803921569,0,0.183301547799499,0,0,0.017987012987013,0,0,0.0625,0,0.0319018082422204,0.287896299575349,0.0208333333333333,0.0103987993138937,0.252582104104723,0.234057751198468,0.0110544217687075,0.00480769230769231,0,0.242532814407814,0.287337572795163,0,0,0.0579710144927536,0.0104895104895105,0.382771030139451,0.0833333333333333,0.243528535640605,0.09179430171278,0,0,0,0.0625,0.0932765151515152,0.0833333333333333,0,0,0.0357142857142857,0.0185185185185185,0.0147058823529412,0.0926644493717664,0.0833333333333333,0.025,0.0886634199134199,0,0,0,0.0138888888888889,0.126339285714286,0,0.03125,0.0833333333333333,0.244838512282213,0.192708333333333,0.0729166666666667,0.09179430171278,0,0.0108695652173913,0.0205645161290323,0.0206582633053221,0.0751190476190476,0.0288461538461538,0.0633289124668435,0.0113636363636364,0.0344827586206896,0.112782258064516,0.0919781284606866,0.0119047619047619,0.11169239892066,0.0277777777777778,0.0119047619047619,0.1,0,0.172159090909091,0.178754058441558,0,0.03125,0.0780510671499044,0.025,0,0,0.0357142857142857,0.0326086956521739,0.013764880952381,0.0776515151515152,0.125,0,0.0863595191040843,0.0333333333333333,0.0161290322580645,0.0319148936170213,0.0288461538461538,0.0964102564102564,0,0.03125,0.0833333333333333,0.217848831451773,0.0416666666666667,0.177725972348065,0,0.126339285714286,0.03125,0.112123730873731,0.0333333333333333,0.08125
"Chlorophyta",0,0,0.0144230769230769,0,0,0,0,0,0.00904977375565611,0,0.0305791952408494,0,0.0454545454545455,0,0.022239665096808,0.0205128205128205,0.0384615384615385,0,0.0313020313020313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0.0384615384615385,0,0,0.0144230769230769,0,0,0.027972027972028,0,0,0,0,0,0,0,0,0,0.0144230769230769,0,0,0,0,0,0,0.00549450549450549,0.0307692307692308,0.0307692307692308,0,0,0,0,0,0,0,0,0.0211709858768682,0.0537586880297878,0.010989010989011,0.0256410256410256,0.0416901106556279,0.0455072050248652,0,0.0577677224736048,0,0,0,0,0,0.0256410256410256,0,0.516816516816517,0,0.0256410256410256,0,0.0334319526627219,0,0,0,0,0,0,0,0,0.0537586880297878,0,0,0.0359823103725543,0.0240070387129211,0,0,0,0.0442487649845509,0.0512799073835863,0,0,0,0,0,0,0.0455072050248652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307692307692308,0,0,0,0,0,0.0384615384615385,0,0,0.0125078173858662,0,0,0.017683465959328,0,0,0,0,0,0,0,0,0,0,0,0.0307692307692308,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0
"Ferns",0,0,0.0790807932201375,0.0468409586056645,0.141025641025641,0.245833333333333,0.234725703146756,0.0833333333333333,0.386289695058201,0,0.37970140970141,0.05,0.270668346152586,0,0.294060613174239,0.221252243308646,0.0996031746031746,0,0.259895153423592,0,0.0416666666666667,0.05,0.262616814402529,0,0.00980392156862745,0,0,0.00520833333333333,0.194444444444444,0.0241147281710196,0.233503161698284,0,0.02377858796877,0.224901344994368,0.345291159099299,0.0294117647058824,0.0043859649122807,0.0250010689769726,0.295812709791204,0.0244166087530516,0.0273521969174143,0.0250905452187082,0.294053952375295,0,0,0.0258243293591654,0.0241147281710196,0.037037037037037,0.0595238095238095,0.0333333333333333,0.238072233724408,0.30085536238787,0.00510204081632653,0.277777777777778,0,0.111111111111111,0,0.277777777777778,0.0416666666666667,0.0239269770539004,0.0253747898930922,0,0.0245602745602746,0.450722480134245,0.230756540130349,0.228096375945838,0,0.0156092648539778,0.0874820022053285,0.377789809544297,0.0175438596491228,0,0.293830296461875,0.0833333333333333,0.0248548881746095,0.0152409046214356,0,0,0.0247858750621182,0.0833333333333333,0,0.0887160861737133,0.264608035855052,0.375219886478468,0.30904721725895,0,0.111111111111111,0.0175438596491228,0.0858351103315975,0.214265672599006,0.224050332383666,0.346629376022413,0.111111111111111,0.0248432591268552,0.0833333333333333,0.0159958720330237,0.0185185185185185,0.315702041050338,0.38483883855693,0.256782989747779,0.276739423315569,0,0.05,0.25752301830272,0.250413454991906,0.220121082621083,0.282163404248887,0,0,0.0163398692810458,0,0,0.061437908496732,0,0.218730223491545,0,0.061437908496732,0,0.127777777777778,0,0,0.016506922257721,0,0,0.0272521662380867,0,0.0162986330178759,0.276739423315569,0,0.0155622489959839,0.243169045353232,0.226427757596565,0.0156092648539778,0.00277777777777778,0,0.264074181179444,0.280140135628133,0,0,0,0.0159465020576132,0.259613117956257,0.0303030303030303,0.250413454991906,0.0675954592363261,0.0788690476190476,0,0.111111111111111,0.111111111111111,0.0669934640522876,0,0.0788690476190476,0.0555555555555556,0.220408950617284,0.0378787878787879,0.121212121212121,0.190507409257409,0.15,0.0666666666666667,0.17202380952381,0.208333333333333,0,0.117268518518519,0.0833333333333333,0.0705128205128205,0.0740740740740741,0.104761904761905,0.152777777777778,0.256193926846101,0.0572649572649573,0.195833333333333,0.0612745098039216,0.0788690476190476,0.120634920634921,0.169076878517047,0.183839107925129,0.143165650406504,0.104761904761905,0.206349206349206,0.123737373737374,0.220408950617284,0.228680676049097,0.123497400909682,0.121212121212121,0.153316105501985,0.0694444444444444,0.131547619047619,0.0256410256410256,0,0.0797535797535798,0.0185185185185185,0.0462962962962963,0.109259259259259,0.17202380952381,0.0555555555555556,0.127113526570048,0,0.136363636363636,0.0333333333333333,0.181779948446615,0.122569444444444,0.111111111111111,0.0788690476190476,0.0612745098039216,0.0833333333333333,0.0378787878787879,0.0333333333333333,0.104761904761905,0.177852069957333,0.111111111111111,0.21346450617284,0.111111111111111,0.20991045991046,0,0.289567422189373,0,0.0705128205128205,0.0833333333333333,0.146379465944683,0.214283594491928,0.166666666666667
"Gymnosperms",0,0,0.138383168076994,0,0.259709653092006,0.268055555555556,0.342757936507937,0.119047619047619,0.487653816771464,0,0.58222791477021,0.0555555555555556,0.453649438013699,0.0541666666666667,0.388289698901421,0.277071162876841,0.41054424739978,0.0238095238095238,0.461372264279546,0,0.194444444444444,0.0555555555555556,0.473566882188249,0,0.0111111111111111,0,0,0.0166666666666667,0.373523276240668,0.0427642245528702,0.440731881464076,0,0.0322321690866623,0.450532141029953,0.606753812636166,0.0819415636793132,0.0529577535793507,0.0382175166439126,0.469483698379657,0.0392987540789653,0.0258743396897358,0.013770041189396,0.649763065126947,0,0.0429292929292929,0.0262626262626263,0.0382135352555734,0.0787037037037037,0.185714285714286,0.0151515151515152,0.447245307967666,0.362567847356082,0.0185185185185185,0.111111111111111,0.0208333333333333,0,0,0.111111111111111,0,0.0420765259837597,0.0382697001350382,0,0.0254652061627864,0.626569912282364,0.453253391643606,0.322566626394937,0.0166666666666667,0.0278164924506388,0.142162826733905,0.454053509822331,0.0207317073170732,0.450519059351723,0.521416439047006,0.119388974227684,0.0281851057927845,0.0218521143397118,0.0175438596491228,0,0.0277932028651399,0.118085618085618,0,0.14782808225152,0.467767526591056,0.433555316996444,0.507714752567694,0.58331209852949,0.111111111111111,0.0198412698412698,0.145151515151515,0.334236990649363,0.330550968708445,0.621006253761095,0.263888888888889,0.0314432481099148,0.118716931216931,0.0181686046511628,0.0217105263157895,0.62194544371197,0.455200404402532,0.442212726821077,0.371798552002331,0.0138888888888889,0.113636363636364,0.451731943341402,0.412580745956705,0.257154882154882,0.355268671128886,0.0148026315789474,0,0.050888665325285,0,0,0.0881784517651111,0,0.339099886468308,0,0.0881784517651111,0,0.335703419171161,0,0,0.0513735669478693,0,0,0.0248954619863742,0,0.0323051948051948,0.371798552002331,0,0.0361220904699166,0.393472703919904,0.465186346220829,0.0360818273092369,0.0131282820705176,0,0.454293625722197,0.371266721266721,0,0,0.0767045454545455,0.0349424477331454,0.550332089650975,0.0606060606060606,0.412580745956705,0.312368927368927,0.240859725070251,0,0.1125,0.173611111111111,0.313946017800288,0.133333333333333,0.23980152401205,0.0277777777777778,0.229235209235209,0.249015978564231,0.245375457875458,0.146767381416504,0.175925925925926,0,0.106307435254804,0,0,0.0875420875420875,0.184126984126984,0.0666666666666667,0.083028083028083,0.0722222222222222,0.381547619047619,0.487654344872655,0.0333333333333333,0.284861111111111,0.316636475696073,0.243238846901444,0.0630602240896359,0.0844455592149108,0.0678847296494355,0.13041958041958,0.075,0.40539878248901,0.0615957494108755,0.234436377665544,0.386399419294156,0.144470435347628,0.0633729298170881,0.274572911341238,0,0.0775324675324675,0.0525153609831029,0,0.171693121693122,0.0333333333333333,0.280519005847953,0.214285714285714,0.102894040657199,0,0.0833333333333333,0,0.0673400673400673,0.222140337616528,0.0757413234172387,0.124761904761905,0.186868686868687,0.233282458282458,0.311023899898124,0.180230397621702,0.236037993941703,0.230473670949861,0.0703703703703704,0.128635253635254,0.1125,0.237747995493599,0.173611111111111,0.548383073588575,0.0902777777777778,0.46657780266668,0,0.0606060606060606,0.178418803418803,0.28995874592306,0.238934676434676,0.225498575498575
"Lycophytes",0,0,0.077739528453177,0,0.05,0.2,0.0583333333333333,0,0.257218013468013,0,0.362952264693733,0.0367063492063492,0.1019099575314,0,0.0884173133359213,0.104025457350266,0.150659824046921,0,0.0874241797628894,0.25,0.0555555555555556,0.0367063492063492,0.267858851347657,0,0.00925925925925926,0,0,0,0.092948717948718,0.0592903828197946,0.238135477880624,0,0.0519640852974186,0.251240065373723,0.12022792022792,0.0416666666666667,0.0613425925925926,0.0510683760683761,0.319194783589067,0.051656314699793,0,0,0.247771559312594,0,0.00925925925925926,0,0.0555555555555556,0,0.05,0,0.241507445044282,0.190045248868778,0,0,0.0104166666666667,0,0,0,0,0.0622895622895623,0.0538095238095238,0,0.048974358974359,0.365376415376415,0.244116585944173,0.131636670842068,0,0,0.0692034610911261,0.208659359589592,0,0.235294117647059,0.260012613283132,0.0625,0,0,0,0,0,0.0601851851851852,0,0.0677897334147334,0.136956285337713,0.151647968314635,0.275402445094492,0.107843137254902,0.166666666666667,0,0.146357594528326,0.123843594676928,0.137617532086087,0.288236458511417,0,0,0.0646929824561403,0,0,0.285687645687646,0.153907940796528,0.211744052810985,0.18660978393164,0.0833333333333333,0.153472222222222,0.115579698164046,0.177231206948188,0.0416666666666667,0.182693402564278,0,0,0,0,0,0.0333333333333333,0,0.0621867167919799,0,0.0333333333333333,0,0.0475308641975309,0,0,0,0,0,0,0,0,0.18660978393164,0,0,0.16779837088367,0.223191635862869,0,0,0,0.106553852126275,0.173544414242089,0,0,0,0,0.18114884842826,0,0.177231206948188,0.0416666666666667,0,0,0.0666666666666667,0,0.0416666666666667,0.04,0,0.0641025641025641,0,0.0856604404991502,0,0.103174985933607,0.0277777777777778,0,0.102240896358543,0,0,0.188095238095238,0.0333333333333333,0,0,0,0.206196581196581,0.237575962756353,0.0743055555555556,0.0666666666666667,0.0416666666666667,0,0.0495238095238095,0,0,0.0688772938092357,0,0.145833333333333,0.0495238095238095,0,0.101851851851852,0.0683118282279228,0.0495238095238095,0.0654438405797101,0,0.0513708513708514,0,0,0.143790849673203,0.087037037037037,0.0535714285714286,0,0.0962962962962963,0,0.180521346469622,0,0,0.111111111111111,0,0.0584677419354839,0,0,0.0416666666666667,0.0277777777777778,0.0817964366351463,0.111111111111111,0,0.0705717653993516,0.0666666666666667,0,0,0.268015407531537,0.163165141426011,0.200580720092915,0,0,0.0256410256410256,0.0602550287356322,0,0
"Streptophyte_algae",0,0,0.0124223602484472,0,0,0.0833333333333333,0,0,0.0333333333333333,0,0.118696639191425,0,0.128322907070047,0,0.123538961038961,0.0473644003055768,0.0476190476190476,0,0.107454648526077,0,0,0,0,0,0,0,0,0.0146520146520147,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0,0.0171428571428571,0,0,0.0114285714285714,0.0184331797235023,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0.0163265306122449,0,0,0,0,0.0171428571428571,0.00952380952380952,0.0142857142857143,0,0,0,0,0,0,0,0.0184331797235023,0.054421768707483,0.0958329890660718,0,0,0.0785523999809714,0.0470161977834612,0.0761904761904762,0.0963131811429025,0,0,0,0,0,0,0,0.150793650793651,0,0,0,0.0745016611295681,0,0,0,0,0,0,0,0,0.0958329890660718,0,0,0.0459275517987515,0.0541671213940122,0,0,0,0.112380501399645,0.0974870717517776,0,0,0,0,0.142857142857143,0,0.0470161977834612,0,0,0,0,0,0,0,0,0,0.0362144857943177,0.0076530612244898,0,0,0.0281385281385281,0,0.0244897959183673,0,0,0.151020408163265,0,0,0,0,0.0150375939849624,0,0.043956043956044,0,0,0,0.0124223602484472,0,0,0.0716089466089466,0,0.0185528756957328,0.0124223602484472,0.0285714285714286,0.037046004842615,0.0147783251231527,0.0124223602484472,0.0306122448979592,0,0,0,0,0.0357142857142857,0.051948051948052,0,0.021978021978022,0.0194805194805195,0,0.149659863945578,0,0,0,0,0.0778397606920527,0,0,0,0,0.00649350649350649,0,0,0.0333333333333333,0,0.0356834709725132,0,0,0.00680272108843537,0.0523594053005818,0,0,0,0.0273809523809524,0.0346852300242131,0
"Zygnematophyceae",0,0,0.0253968253968254,0,0.0535714285714286,0.142857142857143,0.0571428571428571,0,0.0420168067226891,0,0.0572829131652661,0,0.117216117216117,0,0.0967353044596723,0.032967032967033,0.11765873015873,0,0.100732600732601,0,0,0,0.0745341614906832,0,0,0,0.0952380952380952,0,0.0571428571428571,0,0,0,0,0,0.0571428571428571,0,0,0,0.0884353741496599,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0.0952380952380952,0,0.142857142857143,0,0.0714285714285714,0,0.142857142857143,0,0,0,0,0,0.102040816326531,0,0.0680272108843537,0,0,0.0150375939849624,0.0317460317460317,0,0,0,0,0,0,0,0,0,0,0,0.0244897959183673,0.164835164835165,0.0285714285714286,0,0,0,0,0.0248447204968944,0.0688311688311688,0.053968253968254,0.0714285714285714,0,0,0,0,0,0.0833333333333333,0.0317460317460317,0.0609390609390609,0.0714644832291891,0,0,0.117046818727491,0.0599876314162028,0,0.0744810744810745,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.0714644832291891,0,0,0.0757936507936508,0.0706168831168831,0,0,0,0.14010989010989,0.0753968253968254,0,0,0,0,0.0714285714285714,0,0.0599876314162028,0,0,0,0,0,0,0,0,0,0.0204081632653061,0.0820232399179767,0,0.0317460317460317,0.025974025974026,0,0.038265306122449,0,0,0,0,0.0102040816326531,0,0,0,0.0606060606060606,0,0,0,0,0,0.0204081632653061,0,0.00952380952380952,0,0.0571428571428571,0,0.0204081632653061,0.0317460317460317,0.0252100840336134,0,0,0,0,0,0,0,0,0,0.0158730158730159,0.038265306122449,0,0,0,0,0,0.0357142857142857,0.0102040816326531,0,0,0,0,0.0735930735930736,0,0,0,0,0.0317460317460317,0,0.0523809523809524,0.0714285714285714,0.0994397759103642,0,0.0102040816326531,0,0,0.0317460317460317,0
