size_group,group,log2_fold_change
member=2,DE-CTDG,-2.655351828612554
member=2,DE-CTDG,-0.5849625007211563
member=2,DE-CTDG,0.19264507794239583
member=2,DE-CTDG,-0.6629650127224291
member=2,DE-CTDG,0.7369655941662062
member=2,DE-CTDG,-0.09953567355091458
member=2,DE-CTDG,-0.34103691783506696
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.1699250014423121
member=2,DE-CTDG,-0.24100809950379493
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.22239242133644802
member=2,DE-CTDG,-0.5427930464772166
member=2,DE-CTDG,-0.8875252707415874
member=2,DE-CTDG,-0.22239242133644802
member=2,DE-CTDG,-0.4854268271702417
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.24100809950379498
member=2,DE-CTDG,-0.22239242133644782
member=2,DE-CTDG,-0.8073549220576042
member=2,DE-CTDG,-0.6374299206152916
member=2,DE-CTDG,-0.8930847960834881
member=2,DE-CTDG,-1.184424571137427
member=2,DE-CTDG,0.16992500144231237
member=2,DE-CTDG,-0.22239242133644802
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.8300749985576878
member=2,DE-CTDG,-0.13750352374993513
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.5145731728297581
member=2,DE-CTDG,-0.16992500144231246
member=2,DE-CTDG,-0.9999999999999997
member=2,DE-CTDG,-0.08746284125033908
member=2,DE-CTDG,-0.2995602818589079
member=2,DE-CTDG,-0.15200309344504978
member=2,DE-CTDG,0.32192809488736235
member=2,DE-CTDG,-0.09953567355091458
member=2,DE-CTDG,0.0418201756946269
member=2,DE-CTDG,0.5525410230287786
member=2,DE-CTDG,-1.2223924213364479
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.57650092197296
member=2,DE-CTDG,-1.1154772174199363
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.22239242133644802
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.22239242133644802
member=2,DE-CTDG,-0.4150374992788438
member=2,DE-CTDG,-0.07400058144377693
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.22239242133644802
member=2,DE-CTDG,-0.7369655941662059
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-1.0000000000000002
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-1.2945961129161672
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.263034405833794
member=2,DE-CTDG,0.514573172829758
member=2,DE-CTDG,-0.395928676331139
member=2,DE-CTDG,-0.5849625007211563
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.4819123429940049
member=2,DE-CTDG,0.736965594166206
member=2,DE-CTDG,0.0752881273042372
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.0
member=2,DE-CTDG,-0.22239242133644802
member=2,DE-CTDG,0.26303440583379406
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.4150374992788437
member=2,DE-CTDG,0.4150374992788437
member=2,DE-CTDG,-0.7884958948062881
member=2,DE-CTDG,-0.5693656456701377
member=2,DE-CTDG,1.1699250014423124
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.28950661719498505
member=2,DE-CTDG,0.2895066171949847
member=2,DE-CTDG,-0.28010791919273537
member=2,DE-CTDG,0.22239242133644802
member=2,DE-CTDG,0.24792751344358524
member=2,DE-CTDG,-0.45943161863729726
member=2,DE-CTDG,0.4639470997597903
member=2,DE-CTDG,0.19264507794239583
member=2,DE-CTDG,-0.4150374992788438
member=2,DE-CTDG,0.1855556531560765
member=2,DE-CTDG,0.0
member=2,DE-CTDG,0.34577483684173
member=2,DE-CTDG,-0.6341285575250406
